city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Downey,347.14,25.02,69.38,7.87,4.31,7.88,82.0
San Buenaventura,233.65,2.16,80.11,0.05,0.53,1.07,112.0
Bend,206.95,0.36,73.67,0.02,0.5,0.55,95.0
Orem,230.31,3.81,77.96,0.59,1.72,2.82,107.0
Escondido,273.71,7.03,89.41,2.09,2.93,4.75,136.0
Whittier,347.14,25.02,69.38,7.87,4.31,7.88,82.0
Arlington,277.04,5.74,84.4,2.03,17.83,34.8,123.0
Bayonne,300.41,4.24,60.08,0.6,6.03,6.57,53.0
Tyler,236.99,2.04,64.37,0.17,2.66,4.56,66.0
Santa Fe,226.97,2.79,81.54,0.28,1.97,2.52,116.0
Bryan,226.97,1.78,80.11,1.71,3.44,5.93,112.0
Hialeah,270.37,14.57,70.81,2.24,5.02,7.15,86.0
Centreville,263.69,4.93,75.1,0.69,3.22,4.57,100.0
Providence,297.07,9.51,58.65,0.94,1.55,2.27,49.0
Cincinnati,320.44,19.88,55.08,5.31,4.24,5.8,46.0
Lewisville,283.72,8.31,82.25,2.71,17.84,35.64,118.0
Hammond,410.56,36.33,31.47,11.09,8.74,14.29,45.0
Jackson,230.31,2.06,90.84,0.46,4.01,8.74,139.0
Wichita Falls,233.65,1.39,91.55,0.59,5.8,13.94,141.0
Jurupa Valley,307.08,12.68,79.39,2.74,4.61,7.56,110.0
Upland,267.03,7.37,80.82,2.21,4.42,6.54,114.0
San Tan Valley,267.03,3.38,92.98,0.92,6.73,17.73,144.0
Austin,247.0,4.58,85.12,1.59,18.67,36.74,125.0
San Antonio,260.35,5.48,77.25,2.12,19.51,38.07,105.0
Coral Springs,243.66,4.46,91.55,0.95,4.83,8.79,141.0
Saint Joseph,243.66,2.83,71.53,1.21,0.96,2.92,89.0
Phoenix,243.66,1.82,101.57,0.41,2.69,8.68,166.0
Surprise,223.64,0.4,108.72,0.1,1.47,5.36,184.0
Duluth,303.75,13.88,30.04,7.15,2.1,3.55,25.0
Fort Wayne,307.08,10.71,55.08,3.99,4.5,5.15,46.0
Brockton,323.77,15.59,48.64,1.03,1.96,3.86,41.0
Memphis,257.02,9.43,71.53,4.41,7.49,17.5,89.0
Huntsville,250.34,3.09,78.68,1.15,7.21,15.44,109.0
Pittsburgh,277.04,13.54,62.23,7.75,2.27,3.25,60.0
Waterbury,287.06,8.14,62.94,3.25,1.5,2.22,62.0
Longview,236.99,3.3,65.8,0.57,3.69,5.14,71.0
Shreveport,233.65,3.43,73.67,0.66,3.28,4.28,95.0
West Covina,257.02,6.17,83.69,1.97,2.73,5.07,121.0
Sunrise Manor,216.96,2.66,86.55,0.62,0.61,2.62,128.0
Indianapolis,383.85,27.76,47.21,2.62,7.46,9.15,40.0
Kirkland,290.39,10.88,73.67,1.91,1.5,2.64,95.0
Delray Beach,250.34,4.8,92.98,0.93,4.17,8.79,144.0
Pasco,240.33,1.14,82.25,0.12,0.5,0.7,118.0
Carson,290.39,11.82,75.1,4.11,2.09,4.07,100.0
Virginia Beach,307.08,12.17,68.67,3.76,4.65,6.15,80.0
Lansing,297.07,11.31,55.79,1.54,1.39,1.62,47.0
Bismarck,243.66,4.54,66.52,6.56,0.5,0.81,73.0
Manchester,253.68,12.0,57.94,3.61,1.83,4.84,49.0
Frederick,253.68,5.01,82.25,2.38,3.47,4.92,118.0
Tucson,226.97,0.68,95.84,0.14,2.95,11.85,152.0
Amarillo,203.61,0.31,90.12,0.14,1.7,5.41,137.0
Broken Arrow,250.34,4.46,83.69,4.41,13.31,27.61,121.0
Arlington Heights,390.53,26.05,43.63,2.06,8.86,10.99,36.0
El Monte,253.68,7.54,77.96,1.73,1.82,5.14,107.0
Billings,236.99,3.68,52.21,5.01,0.5,0.82,44.0
Fontana,257.02,6.94,67.95,0.98,3.37,6.77,77.0
Brooklyn Park,280.38,8.74,41.49,3.87,1.51,2.4,35.0
Waukesha,330.45,12.68,45.78,0.68,5.17,6.8,38.0
Syracuse,310.42,13.2,67.95,127.79,29.42,40.68,92.0
Walnut Creek,310.42,20.39,57.22,10.73,3.62,6.71,48.0
Dallas,253.68,5.27,84.4,1.88,10.56,24.08,123.0
Jersey City,377.18,34.27,35.76,6.02,5.95,9.28,42.0
Stamford,330.45,20.05,47.92,4.53,4.05,5.99,40.0
Canton,233.65,2.79,77.96,3.93,4.87,9.38,107.0
Silver Spring,333.79,17.82,58.65,2.06,4.46,6.5,49.0
Edinburg,273.71,19.54,39.7,3.34,2.13,3.76,33.0
Wilmington,330.45,17.48,60.08,4.71,3.24,4.75,53.0
Gainesville,247.0,4.67,67.95,2.53,3.06,4.93,77.0
Spokane,243.66,1.61,75.82,0.14,0.5,0.58,102.0
Passaic,320.44,17.82,52.93,4.65,3.69,5.83,44.0
Des Moines,433.92,21.59,36.48,1.46,16.89,18.34,52.0
Racine,397.21,28.45,32.9,2.65,7.62,9.34,35.0
West Palm Beach,250.34,3.34,94.41,0.79,5.48,10.2,148.0
Menifee,260.35,6.51,83.69,1.22,2.05,5.44,121.0
Johnson City,263.69,6.43,70.81,1.0,5.28,7.52,86.0
West Valley City,220.3,5.27,74.39,1.49,0.78,1.92,98.0
Framingham,313.76,13.37,48.64,0.75,1.48,2.34,41.0
Rialto,226.97,1.8,85.12,0.32,1.37,5.09,125.0
Chico,257.02,1.71,62.23,0.12,0.5,0.71,60.0
Hesperia,216.96,0.42,92.98,0.02,1.12,6.07,144.0
Visalia,270.37,4.28,64.37,0.51,1.9,2.63,66.0
Richmond,273.71,5.74,76.53,0.94,3.43,4.87,103.0
Bolingbrook,383.85,22.28,46.49,1.82,9.43,11.67,39.0
Springdale,236.99,1.78,87.26,2.09,9.21,19.11,130.0
Baton Rouge,236.99,9.17,87.26,4.47,4.06,8.38,130.0
Carlsbad,263.69,6.51,90.84,2.5,2.1,3.58,139.0
Plantation,263.69,10.8,81.54,2.74,6.6,9.6,116.0
San Francisco,230.31,0.84,80.82,0.22,0.5,0.9,114.0
New Braunfels,236.99,2.34,89.41,4.47,20.15,37.46,136.0
Mission,250.34,2.46,88.69,1.94,16.86,32.81,134.0
Norwalk,330.45,20.05,47.92,4.53,4.05,5.99,40.0
Grand Rapids,297.07,11.14,52.21,4.71,1.26,1.65,44.0
Odessa,280.38,3.68,72.96,1.89,4.5,4.61,93.0
Nashville,290.39,10.37,69.38,1.97,6.9,9.79,82.0
Greensboro,280.38,10.03,73.67,5.13,4.44,7.02,95.0
Fayetteville,236.99,1.78,87.26,2.09,9.21,19.11,130.0
Carmel,317.1,10.97,61.51,1.18,4.82,6.05,57.0
Troy,500.68,47.3,8.94,1.0,6.96,9.67,59.0
Cape Coral,240.33,2.23,82.25,0.16,5.33,7.14,118.0
Highlands Ranch,233.65,8.05,61.51,2.03,0.98,1.37,57.0
Poinciana,257.02,11.14,73.67,3.1,3.42,5.49,95.0
Edmond,267.03,4.67,77.96,0.76,8.66,25.61,107.0
Oceanside,263.69,6.51,90.84,2.5,2.1,3.58,139.0
Fort Lauderdale,257.02,9.6,84.4,2.71,5.82,8.93,123.0
Waukegan,347.14,17.48,50.78,1.25,6.52,8.73,43.0
Temple,233.65,1.5,85.83,0.94,14.56,31.42,127.0
San Marcos,233.65,1.99,85.83,1.16,17.99,34.78,127.0
Appleton,260.35,4.58,60.08,0.22,1.28,1.58,53.0
Kent,260.35,10.03,62.23,1.28,2.87,9.54,60.0
Youngs,293.73,9.94,55.79,1.74,6.56,9.9,47.0
Tuscaloosa,236.99,2.51,75.1,1.7,5.36,9.2,100.0
Schaumburg,360.49,16.45,52.93,1.28,7.93,9.91,44.0
South Bend,333.79,22.62,47.92,5.48,5.58,7.17,40.0
Tustin,320.44,19.88,83.69,7.75,3.2,5.86,121.0
Ames,293.73,8.31,58.65,0.98,4.26,7.92,49.0
Berkeley,367.17,23.31,45.78,5.84,5.31,10.91,38.0
Oxnard,283.72,7.2,77.25,0.81,2.11,3.07,105.0
Broomfield,230.31,3.47,60.8,1.15,0.5,0.64,55.0
Flower Mound,283.72,5.91,86.55,2.09,22.46,41.74,128.0
Fort Smith,236.99,2.25,80.11,2.77,11.99,26.85,112.0
Ann Arbor,293.73,9.25,57.22,0.44,0.65,0.83,48.0
Palm Bay,247.0,3.3,86.55,0.69,2.26,3.49,128.0
Newport News,270.37,4.58,71.53,2.65,3.74,4.97,89.0
Newark,377.18,34.27,35.76,6.02,5.95,9.28,42.0
Seattle,250.34,2.27,92.98,0.72,0.5,0.88,144.0
Cicero,520.71,50.04,22.53,6.26,15.68,20.39,62.0
Durham,280.38,8.91,64.37,2.24,4.56,6.55,66.0
Nashua,290.39,8.91,60.08,0.3,0.91,1.43,53.0
Bellingham,250.34,2.06,69.38,0.49,0.5,0.6,82.0
